Timestamp,article ID,name,political typology,affect,change your stance,better argue about the discussed topic,Explain your choice in one sentence
4/30/2018 16:15:41,1,pilot_ann_1,Disaffected Democrats,It somehow reinforced my stance,,,"Bush had a history of appointing politically qualified, though ethically questionable people to important positions, therefore the mixed qualifications of Mr Negroponte reinforce my preconceived notions. "
4/30/2018 19:48:36,1,pilot_ann_2,Solid Liberals,It neither challenged me nor reinforced my stance,,,I like solid liberals. 
4/30/2018 20:24:34,1,pilot_ann_3,Country First Conservatives,It neither challenged me nor reinforced my stance,,,"They appointed the guy, what good does it really do to speculate his success or failure?"
5/1/2018 2:03:49,1,pilot_ann_4,Disaffected Democrats,It neither challenged me nor reinforced my stance,,,"The editorial confirmed what I already thought: that Negroponte was an establishment figure, and not particularly independant."
5/1/2018 10:21:06,1,pilot_ann_5,Solid Liberals,It somehow reinforced my stance,,,It adds to my opinion that anyone in this position should be held accountable for the offices they oversee.
5/1/2018 19:22:09,1,pilot_ann_6,New Era Enterprisers,It somehow reinforced my stance,,,"It reinforced my stance of the need of young people in key positions. ""Unresolved questions"" should be enough for dismissal."
5/1/2018 21:55:15,1,pilot_ann_7,Market Skeptic Republicans,It neither challenged me nor reinforced my stance,,,"It seems to cover typical goveenmental hiccups, I don’t expect the government to be perfect in any way. "
4/30/2018 16:18:41,2,pilot_ann_1,Disaffected Democrats,It strongly reinforced my stance,,Yes,"The Bush administration did not care about the populations that needed the most assistance and this article provides an excellent example of that, thus reinforcing my beliefs. "
4/30/2018 19:58:14,2,pilot_ann_2,Opportunity Democrats,It strongly reinforced my stance,,Yes,I like with editorial to better argue about the discussed topic.
4/30/2018 20:30:29,2,pilot_ann_3,Country First Conservatives,It somehow challenged me,,,I never would have thought that funding would have been taken away from a program to stop a communicable disease.
5/1/2018 2:20:55,2,pilot_ann_4,Disaffected Democrats,It somehow reinforced my stance,,,"I dont know much about the issue, and the editorial made me want to learn more."
5/1/2018 11:18:13,2,pilot_ann_5,Solid Liberals,It strongly reinforced my stance,,Yes,The article gives clear reasons why doing such a thing is wrong and detrimental.
5/1/2018 19:26:51,2,pilot_ann_6,New Era Enterprisers,It strongly reinforced my stance,,Yes,"I agree with the editorial, it is totally unfair. Instead of sanctioning states taht have done their job, they should obligate the once that haven't to do so!"
5/1/2018 21:59:21,2,pilot_ann_7,Market Skeptic Republicans,It somehow reinforced my stance,,,"I believe that government steps into local government too much, states that are leaps ahead of others should not be penalized for being efficient and getting ahead. "
4/30/2018 16:21:15,3,pilot_ann_1,Disaffected Democrats,It strongly challenged me,No,,"The article was surprising to me because I did not know that Walmart had any pro-employee programs, however this one article was not enough to radically change my belief that Walmart does not care about the wellbeing of their employees. "
4/30/2018 20:04:31,3,pilot_ann_2,New Era Enterprisers,It strongly challenged me,No,,I choose New Era Enterprisers 
4/30/2018 20:55:37,3,pilot_ann_3,Country First Conservatives,It somehow reinforced my stance,,,"While I believe that sick leave should be mandatory (within limits) when you force it on companies, they do just enough. Walmart is doing something here, which is good for some but for those who have chronic conditions which are managed, this could make it worse. It is actually very frustrating when large corporations try to conform to make everyone happy. It rarely goes well."
5/1/2018 2:25:39,3,pilot_ann_4,Disaffected Democrats,It somehow challenged me,,,It made me rethink my knee-jerk anti-Walmart stancd.
5/1/2018 11:39:34,3,pilot_ann_5,Solid Liberals,It somehow reinforced my stance,,,"It reinforces my view on American Healthcare in this day and age and that anything, no matter how small for the individual, can be helpful as a whole."
5/1/2018 19:30:44,3,pilot_ann_6,New Era Enterprisers,It neither challenged me nor reinforced my stance,,,"It is just an example of the big problem that health care is in this country now a days, and the enormous need for reform."
5/1/2018 22:03:25,3,pilot_ann_7,Market Skeptic Republicans,It neither challenged me nor reinforced my stance,,,"I know people who work forwalmart and like our government, it isn’t actually willing to pay for the changes the they want to make. "
4/30/2018 16:26:09,4,pilot_ann_1,Disaffected Democrats,It strongly reinforced my stance,,Yes,The article reinforced my existing beliefs about the problems associated with campaign supports and helped provide additional information that I did not know that would help support my argument in support of stricter regulation on campaign contributions from individuals and corporations. 
4/30/2018 20:11:01,4,pilot_ann_2,Country First Conservatives,It strongly challenged me,Yes,,Every country should be conservatives.
4/30/2018 21:32:26,4,pilot_ann_3,Country First Conservatives,It strongly reinforced my stance,,No,"Politicians are crooked and often times bought. Everyone knows that even the ones we truly believe are good, to some degree can be bought. I don't argue politics or religion though. It isn't worth it because all it does is make people angry and I do enjoy a good fight, but on television. I avoid conflict in my own life."
5/1/2018 2:33:13,4,pilot_ann_4,Disaffected Democrats,It strongly reinforced my stance,,Yes,"The editorial confirmed what I already believe, but gave me some good details and facts."
5/1/2018 11:51:11,4,pilot_ann_5,Solid Liberals,It strongly reinforced my stance,,Yes,Money plays a very big role in politics but in the end the public should know where all the money goes and the money should be spent lawfully.
5/1/2018 19:35:34,4,pilot_ann_6,New Era Enterprisers,It strongly reinforced my stance,,Yes,"The article proved with numbers and statistics what I have always said, they need strong, hard rules when it comes to contributions from the private sector, transparency is practically null."
5/1/2018 22:06:15,4,pilot_ann_7,Market Skeptic Republicans,It somehow reinforced my stance,,,"Our government isn’t rang by the people for the people as it should be, it’s ran by those who can afford to write the rules and pay for them. "
4/30/2018 16:29:41,5,pilot_ann_1,Disaffected Democrats,It somehow reinforced my stance,,,"This article reinforced my beliefs supporting a carbon tax, though it did not provide an extremely compelling argument; it offered some argument but remained somewhat neutral. "
4/30/2018 20:17:44,5,pilot_ann_2,Bystanders,It somehow challenged me,,,Forcing people to pay to pollute would do more than any other known incentive to bring new technologies to commercial scale.
4/30/2018 22:08:00,5,pilot_ann_3,Country First Conservatives,It somehow challenged me,,,"They have been trying to get people to pay taxes on pollution forever and it doesn't work, but that's not the point. So I guess if they open this plant to capture the emissions of coal then the people who work with coal get to keep their jobs and it creates new jobs so that's cool. What about the people who get sick from having to deal with it in the first place? Why weren't we looking into clean energy already?"
5/1/2018 2:36:34,5,pilot_ann_4,Disaffected Democrats,It somehow reinforced my stance,,,I agree with the point made but didnt find any new information.
5/1/2018 11:45:40,5,pilot_ann_5,Solid Liberals,It somehow reinforced my stance,,,"It's very true that if you hit people in their pockets, where it hurts, problems start being solved a lot quicker."
5/1/2018 19:41:15,5,pilot_ann_6,New Era Enterprisers,It strongly reinforced my stance,,Yes,"I am thrilled to know that they are finally considering the only way to reduce emissions, by making people reduce them, increase in cost or tax is genious and even more the idea of using that money for the development of environment friendly technology. Asking clearly does not work!"
5/1/2018 22:21:58,5,pilot_ann_7,Market Skeptic Republicans,It somehow reinforced my stance,,,"I believe it’s everyones responsibility to keep from polluting the earth, they are on the right path to charge those who pollute. "
